,date,position,title,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1667,2019-02-08,28,THANK U NEXT,USUM71819361,0.229,0.717,207320,0.653,0.0,1,0.101,-5.634,1,0.0658,106.966,4,0.412
1668,2019-02-08,29,HAPPIER,USUG11801651,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
1669,2019-02-08,30,NIGHTS LIKE THIS,USAT21813049,0.367,0.61,201788,0.725,0.0,8,0.154,-5.131,1,0.15,146.163,4,0.291
1670,2019-02-08,31,SHOTGUN,GBARL1701372,0.286,0.673,201287,0.735,0.0,5,0.242,-4.733,1,0.0457,115.744,4,0.754
1671,2019-02-08,32,18HUNNA,GBARL1801740,0.316,0.628,189322,0.578,1.68e-06,10,0.11,-8.387,0,0.479,145.005,4,0.377
1672,2019-02-08,33,LEAVE ME ALONE,QMKSC1800039,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
1673,2019-02-08,34,SWERVIN,USAT21812918,0.0153,0.581,189487,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,4,0.434
1674,2019-02-08,35,SATURDAY NIGHTS,USRC11803517,0.606,0.551,210667,0.44,3.02e-05,10,0.11,-8.559,1,0.0985,167.923,4,0.341
1675,2019-02-08,36,A LOT,QZ45A1700126,0.0395,0.837,288624,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,0.274
1676,2019-02-08,37,THURSDAY,GBAHS1800454,0.452,0.603,216239,0.554,0.0,2,0.0545,-4.381,1,0.0646,111.989,4,0.354
1677,2019-02-08,38,ONE KISS,GBARL1800368,0.037,0.791,214847,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592
1678,2019-02-08,39,I'M SO TIRED,GBKPL1933763,0.173,0.548,162587,0.735,0.0,11,0.195,-7.572,1,0.236,101.252,4,0.498
1679,2019-02-08,40,GRACE,DEUM71806295,0.435,0.722,185658,0.565,0.0,4,0.165,-5.848,1,0.0335,104.483,4,0.488
1680,2019-02-15,1,BREAK UP WITH YOUR GIRLFRIEND I'M BORED,USUM71900409,0.0421,0.726,190440,0.554,0.0,5,0.106,-5.29,0,0.0917,169.999,4,0.335
1681,2019-02-15,2,7 RINGS,USUM71900111,0.559,0.78,178627,0.321,0.0,1,0.0881,-10.747,0,0.371,139.961,4,0.316
1682,2019-02-15,3,SOMEONE YOU LOVED,DEUM71806776,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
1683,2019-02-15,4,DANCING WITH A STRANGER,GBUM71807386,0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347
1684,2019-02-15,5,DON'T CALL ME UP,GBUM71808052,0.296,0.674,178480,0.881,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.234
1685,2019-02-15,6,GIANT,GB1101801908,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,0.606
1686,2019-02-15,7,WOW.,USUM71822626,0.136,0.829,149547,0.539,1.78e-06,11,0.103,-7.359,0,0.208,99.96,4,0.388
1687,2019-02-15,8,NEEDY,USUM71900396,0.78,0.647,171573,0.309,7.41e-06,7,0.202,-7.948,0,0.0366,87.045,4,0.195
1688,2019-02-15,9,NOTHING BREAKS LIKE A HEART,GBARL1801571,0.00987,0.601,217467,0.794,1.36e-06,7,0.388,-5.844,0,0.0671,114.066,4,0.244
1689,2019-02-15,10,BURY A FRIEND,USUM71900770,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,0.196
1690,2019-02-15,11,SWEET BUT PSYCHO,USAT21802011,0.0684,0.72,187436,0.706,0.0,1,0.166,-4.719,1,0.0473,133.002,4,0.62
1691,2019-02-15,12,OPTIONS,QM6P41894589,0.387,0.836,240082,0.621,9.16e-05,1,0.104,-4.685,0,0.0892,101.995,4,0.762
1692,2019-02-15,13,GOING BAD,USAT21812712,0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,0.544
1693,2019-02-15,14,PLAY,GBUM71807392,0.0276,0.767,186560,0.788,2.13e-05,11,0.391,-7.718,0,0.0444,125.036,4,0.591
1694,2019-02-15,15,LOST WITHOUT YOU,UK8E21701401,0.932,0.386,225853,0.136,0.0,6,0.0653,-9.267,1,0.0458,67.016,3,0.0976
1695,2019-02-15,16,TALK,USRC11900004,0.0516,0.9,197573,0.4,0.0,0,0.0599,-8.575,1,0.127,135.984,4,0.346
1696,2019-02-15,17,MIDDLE CHILD,QMJMT1902056,0.149,0.837,213594,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,0.463
1697,2019-02-15,18,PSYCH OUT,UKQNW1800009,0.707,0.733,175520,0.555,0.0,9,0.0961,-9.83,1,0.244,77.585,4,0.335
1698,2019-02-15,19,HELLO MY LOVE,GBUM71807035,0.0971,0.679,214212,0.717,0.0,0,0.124,-4.548,1,0.0384,121.96,4,0.255
