isrc,artist,artist_id,track_name,track_spotify_id
GBARL2202424,TOM GRENNAN,5SHxzwjek1Pipl1Yk11UHv,HERE,5yuGEEvvqMHvoLIxEFnaDT
USQX92003025,24KGOLDN FT IANN DIOR,6fWVd57NKTalqvmjRd2t8Z,MOOD,4jPy3l0RUwlUI9T5XHBW2m
USSM12104773,CAMILA CABELLO,4nDoRrQiYLoBzwC5BhVJzF,DON'T GO YET,1058fW9H3fZA6QjYCdOBad
USSM12300154,MILEY CYRUS,5YGY8feqx7naU7z4HrwZM6,RIVER,04CqLjewJiSAqM210vZAmT
GBAYE2000504,GRM DAILY/M HUNCHO/DUTCHAVELLI,4PCeJ2EIn3YtzYYRsHHWyy,BURNING,3fAa5d2KhtXJ1gxB1wobQz
GBARL2000845,HEADIE ONE & DRAKE,6UCQYrcJ6wab6gnQ89OJFh,ONLY YOU FREESTYLE,4OENnoidV0h8gJV6bhrw7r
USUG12204898,DRAKE FT 21 SAVAGE,3TVXtAsR1Inumwj472S9r4,JIMMY COOKS,5LYsEBLHY4PwmK1MRic1mr
USAT21811523,KODAK BLACK/SCOTT/OFFSET,46SHBwWsqBkxI7EeeBEQG7,ZEZE,0FZ4Dmg8jJJAPJnvBIzD9z
GBARL2300300,CALVIN HARRIS/ELLIE GOULDING,7CajNmpbOovFoOoasH2HaY,MIRACLE,5eTaQYBE1yrActixMAeLcZ
USUM72001323,JUSTIN BIEBER/MALONE/CLEVER,1uNFoZAHBGtllmzznpCI3s,FOREVER,2ZlCGeK30BLRNSPC832pNZ
GBAHS2001193,ED SHEERAN,6eUKZXaKkcviH0Ku9w2n3V,AFTERGLOW,0E4Y1XIbs8GrAT1YqVy6dq
QZES62254244,LEAH KATE,6oWOHAOyBUn6aJlKIPJK9r,10 THINGS I HATE ABOUT YOU,6Jkm5kUldvIqxzI1Pa7nXH
GBAHT2200492,LF SYSTEM,0HxX6imltnNXJyQhu4nsiO,AFRAID TO FEEL,40SBS57su9xLiE1WqkXOVr
USRC12204584,SZA,7tYKF4w9nC0nq9CsPZTHyP,KILL BILL,1Qrg8KqiBpW07V7PNxwwwL
